Material,curva_qtd,curva_valor,tipo_item,tipo_produto
SA0274,A,A,stretch,acabado
SA0192,A,A,stretch,acabado
SA0166,A,A,stretch,acabado
SA0191,A,A,stretch,acabado
SA0163,A,A,stretch,acabado
SE0024,A,A,stretch,semiacabado
HA0338,A,A,shrink,acabado
SA0469,A,B,stretch,acabado
SA0164,A,B,stretch,acabado
SA0528,B,B,stretch,acabado
SA0357,B,B,stretch,acabado
HA0007,B,B,shrink,acabado
SA0033,B,B,stretch,acabado
SA0091,B,B,stretch,acabado
SA0193,B,B,stretch,acabado
SA0215,B,B,stretch,acabado
SA0157,B,B,stretch,acabado
HA0069,B,B,shrink,acabado
SA0566,B,C,stretch,acabado
SA0127,B,B,stretch,acabado
HA0410,B,B,shrink,acabado
SA0175,B,B,stretch,acabado
HA0328,B,B,shrink,acabado
SA0564,B,B,stretch,acabado
HA0475,B,B,shrink,acabado
SA0108,B,B,stretch,acabado
SA0309,B,B,stretch,acabado
SA0092,B,B,stretch,acabado
SA0168,B,B,stretch,acabado
SA0026,B,B,stretch,acabado
HA0625,B,B,shrink,acabado
SA0211,B,B,stretch,acabado
SA0153,B,C,stretch,acabado
HC0028,B,B,shrink,acabado
SA0110,B,C,stretch,acabado
HA0364,B,B,shrink,acabado
HA0242,B,B,shrink,acabado
SA0541,B,C,stretch,acabado
HA0363,B,C,shrink,acabado
SA0087,B,C,stretch,acabado
SA0259,B,C,stretch,acabado
HA0668,B,C,shrink,acabado
HA0740,B,C,shrink,acabado
SZ0153,B,C,stretch,semiacabado
SA0531,C,C,stretch,acabado
HA0438,C,C,shrink,acabado
HA0752,C,C,shrink,acabado
SA0305,C,C,stretch,acabado
SA0308,C,B,stretch,acabado
SA0049,C,C,stretch,acabado
SA0165,C,C,stretch,acabado
SA0155,C,C,stretch,acabado
SA0232,C,B,stretch,acabado
SZ0163,C,C,stretch,semiacabado
HA0273,C,C,shrink,acabado
SA0017,C,C,stretch,acabado
SA0027,C,C,stretch,acabado
SA0307,C,C,stretch,acabado
SA0219,C,C,stretch,acabado
SA0075,C,C,stretch,acabado
SA0109,C,C,stretch,acabado
SA0547,C,B,stretch,acabado
SA0411,C,C,stretch,acabado
HA0101,C,C,shrink,acabado
SA0248,C,C,stretch,acabado
HA0217,C,C,shrink,acabado
SA0532,C,C,stretch,acabado
SA0118,C,C,stretch,acabado
HA0284,C,C,shrink,acabado
HA0999,C,C,shrink,acabado
SA0347,C,C,stretch,acabado
SA0078,C,C,stretch,acabado
HA0828,C,C,shrink,acabado
SA0053,C,C,stretch,acabado
HA0864,C,C,shrink,acabado
HA0005,C,C,shrink,acabado
HA0290,C,C,shrink,acabado
SA0125,C,C,stretch,acabado
HA0428,C,C,shrink,acabado
SA0525,C,C,stretch,acabado
SA0441,C,C,stretch,acabado
HA0154,C,C,shrink,acabado
SA0292,C,C,stretch,acabado
HA0023,C,C,shrink,acabado
HA0656,C,C,shrink,acabado
HA0298,C,C,shrink,acabado
SA0325,C,C,stretch,acabado
SA0561,C,C,stretch,acabado
SA0154,C,C,stretch,acabado
SA0579,C,C,stretch,acabado
HA0473,C,C,shrink,acabado
SA0188,C,C,stretch,acabado
HA0281,C,C,shrink,acabado
SA0034,C,C,stretch,acabado
SA0212,C,C,stretch,acabado
HA0648,C,C,shrink,acabado
HA0006,C,C,shrink,acabado
SZ0256,C,C,stretch,semiacabado
SZ0257,C,C,stretch,semiacabado
SA0065,C,C,stretch,acabado
SA0132,C,C,stretch,acabado
SA0067,C,C,stretch,acabado
SA0546,C,C,stretch,acabado
SE0060,C,C,stretch,semiacabado
HA0314,C,C,shrink,acabado
SA0322,C,C,stretch,acabado
SE0061,C,C,stretch,semiacabado
SA0233,C,C,stretch,acabado
HA0548,C,C,shrink,acabado
SA0291,C,C,stretch,acabado
SA0151,C,C,stretch,acabado
SA0031,C,C,stretch,acabado
HA0474,C,C,shrink,acabado
SA0190,C,C,stretch,acabado
HA0354,C,C,shrink,acabado
HA1174,C,C,shrink,acabado
HA0160,C,C,shrink,acabado
HA0324,C,C,shrink,acabado
HA0043,C,C,shrink,acabado
SA0123,C,C,stretch,acabado
SA0084,C,C,stretch,acabado
HA0761,C,C,shrink,acabado
SA0012,C,C,stretch,acabado
SA0321,C,C,stretch,acabado
SA0195,C,C,stretch,acabado
HA0811,C,C,shrink,acabado
SA0361,C,C,stretch,acabado
HA0237,C,C,shrink,acabado
SA0294,C,C,stretch,acabado
SA0002,C,C,stretch,acabado
SA0111,C,C,stretch,acabado
SE0062,C,C,stretch,semiacabado
SZ0357,C,C,stretch,semiacabado
HA0066,C,C,shrink,acabado
SA0152,C,C,stretch,acabado
HA0025,C,C,shrink,acabado
HA0565,C,C,shrink,acabado
HA0544,C,C,shrink,acabado
SA0569,C,C,stretch,acabado
HA0156,C,C,shrink,acabado
SZ0162,C,C,stretch,semiacabado
HA0401,C,C,shrink,acabado
SE0019,C,C,stretch,semiacabado
HA0022,C,C,shrink,acabado
SA0260,C,C,stretch,acabado
SA0301,C,C,stretch,acabado
SA0282,C,C,stretch,acabado
HA0071,C,C,shrink,acabado
HA0601,C,C,shrink,acabado
SA0170,C,C,stretch,acabado
SA0001,C,C,stretch,acabado
SA0056,C,C,stretch,acabado
HE0044,C,C,shrink,semiacabado
SA0243,C,C,stretch,acabado
SA0140,C,C,stretch,acabado
HA0024,C,C,shrink,acabado
SZ0091,C,C,stretch,semiacabado
SZ0193,C,C,stretch,semiacabado
SA0318,C,C,stretch,acabado
HA0303,C,C,shrink,acabado
SA0136,C,C,stretch,acabado
SA0558,C,C,stretch,acabado
SA0315,C,C,stretch,acabado
SA0145,C,C,stretch,acabado
HA0747,C,C,shrink,acabado
HA0810,C,C,shrink,acabado
SA0319,C,C,stretch,acabado
HC0011,C,C,shrink,acabado
SA0042,C,C,stretch,acabado
SA0028,C,C,stretch,acabado
SA0310,C,C,stretch,acabado
HA0756,C,C,shrink,acabado
HA0163,C,C,shrink,acabado
SA0047,C,C,stretch,acabado
HA0378,C,C,shrink,acabado
SA0297,C,C,stretch,acabado
HE0015,C,C,shrink,semiacabado
SA0063,C,C,stretch,acabado
SA0580,C,C,stretch,acabado
SA0554,C,C,stretch,acabado
HA0888,C,C,shrink,acabado
HI0059,C,C,shrink,acabado
SA0570,C,C,stretch,acabado
SA0270,C,C,stretch,acabado
SA0210,C,C,stretch,acabado
SA0032,C,C,stretch,acabado
HA0391,C,C,shrink,acabado
SA0524,C,C,stretch,acabado
SE0036,C,C,stretch,semiacabado
HA0058,C,C,shrink,acabado
HA0096,C,C,shrink,acabado
SA0051,C,C,stretch,acabado
SZ0354,C,C,stretch,semiacabado
HC0009,C,C,shrink,acabado
SZ0355,C,C,stretch,semiacabado
HA0559,C,C,shrink,acabado
HA1060,C,C,shrink,acabado
SA0207,C,C,stretch,acabado
HA0253,C,C,shrink,acabado
HA0320,C,C,shrink,acabado
HC0015,C,C,shrink,acabado
HA0485,C,C,shrink,acabado
HA0521,C,C,shrink,acabado
SA0331,C,C,stretch,acabado
HA0283,C,C,shrink,acabado
SE0006,C,C,stretch,semiacabado
HA0323,C,C,shrink,acabado
SA0326,C,C,stretch,acabado
HA0062,C,C,shrink,acabado
HC0053,C,C,shrink,acabado
HE0020,C,C,shrink,semiacabado
SA0208,C,C,stretch,acabado
HA0392,C,C,shrink,acabado
SA0311,C,C,stretch,acabado
HA0047,C,C,shrink,acabado
SA0515,C,C,stretch,acabado
SA0298,C,C,stretch,acabado
HA0606,C,C,shrink,acabado
HA0370,C,C,shrink,acabado
HA0203,C,C,shrink,acabado
SA0557,C,C,stretch,acabado
SA0440,C,C,stretch,acabado
SA0328,C,C,stretch,acabado
SA0171,C,C,stretch,acabado
SA0323,C,C,stretch,acabado
HA0057,C,C,shrink,acabado
IS0090,C,C,shrink,acabado
HA0805,C,C,shrink,acabado
SZ0356,C,C,stretch,semiacabado
HA0131,C,C,shrink,acabado
IZ0065,C,C,shrink,semiacabado
IH0002,C,C,shrink,acabado
IS0046,C,C,shrink,acabado
SA0035,C,C,stretch,acabado
SA0312,C,C,stretch,acabado
SA0324,C,C,stretch,acabado
HA0806,C,C,shrink,acabado
HA0755,C,C,shrink,acabado
SA0122,C,C,stretch,acabado
HA0452,C,C,shrink,acabado
SA0278,C,C,stretch,acabado
SZ0158,C,C,stretch,semiacabado
SA0565,C,C,stretch,acabado
SA0005,C,C,stretch,acabado
SA0107,C,C,stretch,acabado
SA0036,C,C,stretch,acabado
HC0012,C,C,shrink,acabado
SZ0161,C,C,stretch,semiacabado
SA0537,C,C,stretch,acabado
HA0501,C,C,shrink,acabado
IZ0064,C,C,shrink,semiacabado
SA0320,C,C,stretch,acabado
HI0004,C,C,shrink,acabado
IH0047,C,C,shrink,acabado
HA0816,C,C,shrink,acabado
IS0076,C,C,shrink,acabado
SA0008,C,C,stretch,acabado
IH0045,C,C,shrink,acabado
HA0558,C,C,shrink,acabado
HA0519,C,C,shrink,acabado
SA0083,C,C,stretch,acabado
HA0095,C,C,shrink,acabado
HA0036,C,C,shrink,acabado
HE0045,C,C,shrink,semiacabado
IH0039,C,C,shrink,acabado
HA0004,C,C,shrink,acabado
HA0508,C,C,shrink,acabado
IS0089,C,C,shrink,acabado
SA0143,C,C,stretch,acabado
IS0044,C,C,shrink,acabado
HA0877,C,C,shrink,acabado
HC0045,C,C,shrink,acabado
HC0027,C,C,shrink,acabado
HC0002,C,C,shrink,acabado
HA0777,C,C,shrink,acabado
SA0295,C,C,stretch,acabado
SA0025,C,C,stretch,acabado
HA0264,C,C,shrink,acabado
SA0267,C,C,stretch,acabado
SE0047,C,C,stretch,semiacabado
HA0566,C,C,shrink,acabado
HA0797,C,C,shrink,acabado
HA0982,C,C,shrink,acabado
HC0046,C,C,shrink,acabado
SA0327,C,C,stretch,acabado
SZ0159,C,C,stretch,semiacabado
HA0608,C,C,shrink,acabado
SA0085,C,C,stretch,acabado
SA0174,C,C,stretch,acabado
SA0209,C,C,stretch,acabado
HA0269,C,C,shrink,acabado
HA0332,C,C,shrink,acabado
SA0052,C,C,stretch,acabado
HA0138,C,C,shrink,acabado
SA0313,C,C,stretch,acabado
HA0357,C,C,shrink,acabado
IS0032,C,C,shrink,acabado
SZ0358,C,C,stretch,semiacabado
SZ0390,C,C,stretch,semiacabado
IH0056,C,C,shrink,acabado
HA0759,C,C,shrink,acabado
HA0061,C,C,shrink,acabado
SA0442,C,C,stretch,acabado
HA0064,C,C,shrink,acabado
IH0043,C,C,shrink,acabado
SA0162,C,C,stretch,acabado
SA0560,C,C,stretch,acabado
SA0182,C,C,stretch,acabado
HA0046,C,C,shrink,acabado
SA0359,C,C,stretch,acabado
SA0330,C,C,stretch,acabado
SA0523,C,C,stretch,acabado
SA0073,C,C,stretch,acabado
HA0904,C,C,shrink,acabado
HA0450,C,C,shrink,acabado
IS0034,C,C,shrink,acabado
HA0041,C,C,shrink,acabado
HA0571,C,C,shrink,acabado
IS0075,C,C,shrink,acabado
HE0028,C,C,shrink,semiacabado
HI0074,C,C,shrink,acabado
HI0073,C,C,shrink,acabado
HA0044,C,C,shrink,acabado
HA0570,C,C,shrink,acabado
HA0732,C,C,shrink,acabado
SA0500,C,C,stretch,acabado
SA0293,C,C,stretch,acabado
SZ0133,C,C,stretch,semiacabado
HA0093,C,C,shrink,acabado
IH0033,C,C,shrink,acabado
IH0035,C,C,shrink,acabado
HC0068,C,C,shrink,acabado
IH0036,C,C,shrink,acabado
IS0093,C,C,shrink,acabado
IS0033,C,C,shrink,acabado
SA0003,C,C,stretch,acabado
HA0059,C,C,shrink,acabado
HA0433,C,C,shrink,acabado
HA0176,C,C,shrink,acabado
SA0296,C,C,stretch,acabado
SA0142,C,C,stretch,acabado
SA0144,C,C,stretch,acabado
IH0042,C,C,shrink,acabado
HA0737,C,C,shrink,acabado
SA0019,C,C,stretch,acabado
SA0137,C,C,stretch,acabado
HA0490,C,C,shrink,acabado
HA1000,C,C,shrink,acabado
SA0581,C,C,stretch,acabado
SA0551,C,C,stretch,acabado
HC0005,C,C,shrink,acabado
SA0280,C,C,stretch,acabado
SA0106,C,C,stretch,acabado
HA0400,C,C,shrink,acabado
IH0005,C,C,shrink,acabado
IH0006,C,C,shrink,acabado
HA0896,C,C,shrink,acabado
SZ0165,C,C,stretch,semiacabado
SA0443,C,C,stretch,acabado
HA0311,C,C,shrink,acabado
IH0004,C,C,shrink,acabado
HA0259,C,C,shrink,acabado
SA0472,C,C,stretch,acabado
HC0026,C,C,shrink,acabado
HA0757,C,C,shrink,acabado
HE0043,C,C,shrink,semiacabado
HA0729,C,C,shrink,acabado
IH0003,C,C,shrink,acabado
IS0006,C,C,shrink,acabado
IH0010,C,C,shrink,acabado
SZ0349,C,C,stretch,semiacabado
HZ0434,C,C,shrink,semiacabado
HI0075,C,C,shrink,acabado
IH0058,C,C,shrink,acabado
SA0467,C,C,stretch,acabado
SA0340,C,C,stretch,acabado
IH0017,C,C,shrink,acabado
HA0778,C,C,shrink,acabado
